"id";"category";"name";"type";"Марка :";"Классификация :";"Дополнение:";"Применение:";"Зарубежные аналоги:";"Заменитель:";
"http://splav-kharkov.com/mat_start.php?name_id=981";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"47НКХ";"Сплав прецизионный магнитно-мягкий";;"для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов; сплав обладает анизотропией магнитных свойств, низкой остаточной магнитной индукцией и постоянством магнитной проницаемости";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=676";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"50Н       (    другое обозначение         50НП     )";"Сплав прецизионный магнитно-мягкий";"сплав обладает повышенной магнитной проницаемостью и повышенной индукцией технического насыщения";"Для сердечников междуламповых и малогабаритных силовых трансформаторов, дросселей, реле и деталей магнитных цепей, работающих при повышенных индукциях без подмагничивания или с небольшим подмагничиванием;";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=689";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"49К2Ф";"Сплав прецизионный магнитно-мягкий";"Сплав с высоким магнитным насыщением, высокой и постоянной проницаемостью, высокой магнитострикцией и высокой точкой Кюри.";"Для пакетов ультразвуковых преобразователей телефонных мембран;";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=691";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"49К2ФА";"Сплав прецизионный магнитно-мягкий";"Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950°С и высокой магнитострикцией.";"Для трансформаторов, магнитных усилителей, роторов и статоров электрических машин;";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=690";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"49КФ";"Сплав прецизионный магнитно-мягкий";"Сплав с магнитным насыщением не менее 2,35 Т, с высокой точкой Кюри 950 °С и высокой магнитострикцией.";"Для сердечников и полюсных наконечников, магнитов и соленоидов;";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=980";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"50НХС";"Сплав прецизионный магнитно-мягкий";"Сплав с повышенной магнитной проницаемостью и высоким удельным электросопротивлением при индукции не менее 1,0 Т.";"Для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием, для сердечников магнитных головок.";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=677";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"50ХНС";"Сплав прецизионный магнитно-мягкий";;"для сердечников импульсных трансформаторов и аппаратуры связи звуковых и высоких частот, работающих без подмагничивания или с небольшим подмагничиванием; для сердечников магнитных головок";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=683";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"79Н3М";"Сплав прецизионный магнитно-мягкий";"С 01.01.1991 сплав не допускается к применению во вновь создаваемой и модернизируемой технике.";"Для сердечников импульсных и широкополосных трансформаторов; Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=678";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"64Н       (    другое обозначение         65Н     )";"Сплав прецизионный магнитно-мягкий";"Сплав обладает анизотропией магнитных свойств, низкой остаточной  магнитной индукцией и постоянством магнитной проницаемости в широком интервале полей";"Для сердечников катушек постоянной индуктивности, дросселей фильтров, широкополосных трансформаторов;";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=679";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"68НМ       (    другое обозначение         68НМП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокими значениями проницаемости и приращений индукции при однополярном импульсном намагничивании, обладающий магнитной текстурой.";"Для изготовления сердечников магнитных усилителей, коммутирующих дросселей, выпрямительных установок, импульсных и широкополосных трансформаторов.";"Нет данных"
